,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,2n01u4yKfIrWuOzRVvIZmw,crif-dogs-new-york,Crif Dogs,https://s3-media1.fl.yelpcdn.com/bphoto/9wzdpDVeUIJ1p_wpeA1qPQ/o.jpg,False,https://www.yelp.com/biz/crif-dogs-new-york?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,2140,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'newamerican', 'title': 'New American'}]",4.0,"{'latitude': 40.72707, 'longitude': -73.98379}","['pickup', 'delivery']",$,"{'address1': '113 Saint Marks Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['113 Saint Marks Pl', 'New York, NY 10009']}",+16469228524,(646) 922-8524,2567.4716321105648
1,exkTMrGqV-4j_z0QRVVY7Q,billys-hot-dog-cart-new-york,Billy's Hot Dog Cart,https://s3-media3.fl.yelpcdn.com/bphoto/zP-jch5DRJxhgvK6XCMMYA/o.jpg,False,https://www.yelp.com/biz/billys-hot-dog-cart-new-york?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,78,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'pretzels', 'title': 'Pretzels'}]",5.0,"{'latitude': 40.789695, 'longitude': -73.966125}",[],$,"{'address1': '327 Central Park West', 'address2': 'Ste 63', 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['327 Central Park West', 'Ste 63', 'New York, NY 10025']}",,,9660.221018116776
2,477o_-7VmcnTokazWtEa0A,grays-papaya-new-york,Gray's Papaya,https://s3-media3.fl.yelpcdn.com/bphoto/zF4W7-J2Awhgk3rY5TIoFg/o.jpg,False,https://www.yelp.com/biz/grays-papaya-new-york?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,1529,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",3.5,"{'latitude': 40.7783783121866, 'longitude': -73.9815581747816}","['pickup', 'delivery']",$,"{'address1': '2090 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['2090 Broadway', 'New York, NY 10023']}",+12127990243,(212) 799-0243,8180.482317504894
3,EL5SxC51am9wSTKN0xtCyQ,glizzys-nyc-brooklyn,Glizzy's NYC,https://s3-media1.fl.yelpcdn.com/bphoto/fX2w9vTgiIHnt-u35OfhvA/o.jpg,False,https://www.yelp.com/biz/glizzys-nyc-brooklyn?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,12,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",4.0,"{'latitude': 40.713908, 'longitude': -73.955302}","['pickup', 'delivery']",,"{'address1': '390 Metropolitan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['390 Metropolitan Ave', 'Brooklyn, NY 11211']}",,,3411.6797211984635
4,ydYyMb4mmnJ0--4ZE_MsjA,dog-day-afternoon-brooklyn,Dog Day Afternoon,https://s3-media3.fl.yelpcdn.com/bphoto/HS77fRar1WqTQ7vJmL7S9g/o.jpg,False,https://www.yelp.com/biz/dog-day-afternoon-brooklyn?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,69,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}]",4.5,"{'latitude': 40.6586, 'longitude': -73.98213}","['pickup', 'delivery']",$,"{'address1': '266 Prospect Park W', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['266 Prospect Park W', 'Brooklyn, NY 11215']}",,,5304.288792672725
5,p4MFj1vG8SwNbophVtfKoQ,hot-dog-cart-new-york-2,Hot Dog Cart,https://s3-media3.fl.yelpcdn.com/bphoto/DIPWcP8wwtFjMDiQLeCAkg/o.jpg,False,https://www.yelp.com/biz/hot-dog-cart-new-york-2?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,18,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}]",4.5,"{'latitude': 40.76099, 'longitude': -73.9733}",[],$,"{'address1': 'Madison Ave & E 55th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['Madison Ave & E 55th St', 'New York, NY 10022']}",,,6427.736045027609
6,9IELYPPYvjrRimz8tgCwag,new-york-hot-dogs-new-york-2,New York Hot Dogs,https://s3-media1.fl.yelpcdn.com/bphoto/TWgddmkfCDDB2RYRZrBB2Q/o.jpg,False,https://www.yelp.com/biz/new-york-hot-dogs-new-york-2?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,16,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.5,"{'latitude': 40.77942, 'longitude': -73.96342}",[],$,"{'address1': '1000 Fifth Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1000 Fifth Ave', 'New York, NY 10028']}",+19175249330,(917) 524-9330,8599.402216935836
7,H26qMBb0OFNn2xmSTM1Phw,kings-of-kobe-new-york-8,Kings of Kobe,https://s3-media2.fl.yelpcdn.com/bphoto/AF-AC5Sh-80Yjj8cvdW2Sg/o.jpg,False,https://www.yelp.com/biz/kings-of-kobe-new-york-8?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,452,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,"{'latitude': 40.761172, 'longitude': -74.000307}","['pickup', 'delivery']",$$,"{'address1': '650 W 42nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['650 W 42nd St', 'New York, NY 10036']}",+16463705121,(646) 370-5121,6217.25105775152
8,PcNbAfr52_rd2MQkvRqdiQ,los-perros-de-chucho-long-island-city,Los Perros De Chucho,https://s3-media3.fl.yelpcdn.com/bphoto/-0QhgF-3lZUNwPaRHilLqw/o.jpg,False,https://www.yelp.com/biz/los-perros-de-chucho-long-island-city?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,38,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,"{'latitude': 40.755028, 'longitude': -73.9215679}","['pickup', 'delivery']",,"{'address1': '40-13 35th Ave', 'address2': '', 'address3': None, 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['40-13 35th Ave', 'Long Island City, NY 11101']}",+13478089200,(347) 808-9200,8243.170246828498
9,V7lXZKBDzScDeGB8JmnzSA,katzs-delicatessen-new-york,Katz's Delicatessen,https://s3-media3.fl.yelpcdn.com/bphoto/CkSfFJLJbUItcMxIakKVjw/o.jpg,False,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=6jst90HKQ8j_9-N2cJYwcA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6jst90HKQ8j_9-N2cJYwcA,15262,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,"{'latitude': 40.722237, 'longitude': -73.9875259}","['pickup', 'delivery']",$$,"{'address1': '205 E Houston St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['205 E Houston St', 'New York, NY 10002']}",+12122542246,(212) 254-2246,1952.3706239726876
